box_idx,x1,y1,x2,y2,det_conf,clip_brand,clip_score
0,1286,15,1388,212,0.913,Nestle,0.375
1,1186,17,1283,213,0.910,Nestle,0.382
2,1089,18,1184,213,0.904,Nestle,0.374
3,1206,585,1293,761,0.904,Amul,0.318
4,23,288,129,517,0.904,Amul,0.377
5,244,288,350,520,0.903,Amul,0.376
6,900,583,991,762,0.902,Amul,0.332
7,574,285,669,519,0.900,Amul,0.333
8,765,284,856,523,0.900,Amul,0.356
9,1297,586,1387,764,0.900,Amul,0.338
10,672,284,762,523,0.899,Amul,0.335
11,1112,585,1203,761,0.898,Amul,0.312
12,858,283,954,524,0.897,Amul,0.360
13,356,282,460,524,0.896,Mother Dairy,0.319
14,585,29,654,214,0.894,Danone,0.338
15,710,584,802,761,0.893,Amul,0.318
16,805,584,896,761,0.891,Amul,0.324
17,334,830,482,921,0.889,Amul,0.371
18,514,29,582,214,0.888,Danone,0.322
19,518,988,676,1075,0.888,Milky Mist,0.298
20,303,988,474,1074,0.888,Good Day,0.280
21,464,284,570,525,0.886,Mother Dairy,0.324
22,486,829,633,922,0.885,Amul,0.394
23,1140,988,1380,1075,0.884,Other,0.219
24,994,583,1086,763,0.883,Amul,0.320
25,13,827,170,921,0.881,Amul,0.408
26,725,30,791,215,0.879,Danone,0.291
27,656,29,723,215,0.879,Danone,0.299
28,597,581,692,760,0.878,Nescafe,0.299
29,496,581,589,759,0.877,Hershey's,0.314
30,114,583,200,762,0.877,Amul,0.352
31,922,983,1109,1074,0.876,Nestle,0.308
32,20,582,107,762,0.875,Amul,0.313
33,146,985,264,1075,0.874,Amul,0.385
34,133,288,240,518,0.874,Amul,0.380
35,173,828,330,921,0.873,Amul,0.389
36,1160,844,1271,922,0.873,Milky Mist,0.315
37,208,583,293,761,0.872,Amul,0.296
38,441,29,511,213,0.869,Milky Mist,0.300
39,25,985,141,1075,0.869,Amul,0.391
40,722,985,880,1076,0.869,Milky Mist,0.305
41,300,580,389,761,0.869,Amul,0.287
42,799,840,951,921,0.864,Amul,0.303
43,1273,844,1384,922,0.863,Milky Mist,0.311
44,395,580,487,760,0.863,Hershey's,0.308
45,794,31,861,215,0.862,Danone,0.311
46,1306,287,1383,525,0.860,Epigamia,0.315
47,1153,286,1227,524,0.855,Epigamia,0.319
48,641,840,794,920,0.851,Amul,0.284
49,1231,285,1303,524,0.848,Epigamia,0.280
50,1015,114,1087,215,0.848,Yakult,0.340
51,230,33,324,127,0.847,Danone,0.331
52,1054,283,1148,523,0.847,Amul,0.348
53,959,282,1053,523,0.847,Amul,0.358
54,232,133,323,215,0.837,Danone,0.302
55,332,134,422,216,0.835,Danone,0.307
56,330,34,425,127,0.831,Danone,0.357
57,960,886,1150,922,0.827,Other,0.195
58,959,845,1150,883,0.803,Other,0.214
59,119,159,216,214,0.796,Nestle,0.255
60,16,33,113,93,0.795,Nestle,0.342
61,21,159,114,214,0.793,Britannia,0.306
62,118,33,214,94,0.789,Nestle,0.311
63,122,99,219,153,0.786,Nestle,0.302
64,18,98,117,153,0.774,Nestle,0.316
65,865,112,938,215,0.767,Yakult,0.345
66,1015,45,1085,110,0.764,Yakult,0.329
67,940,113,1012,215,0.699,Yakult,0.349
68,866,45,938,109,0.696,Yakult,0.340
69,941,45,1012,111,0.654,Yakult,0.343
70,1387,286,1402,524,0.431,Other,0.201
71,678,980,718,1075,0.368,Other,0.170
